AgeAge	3.0567854155783745
ParchPclass_1	2.9516877208885304
SibSpEmbarked_C	2.2875529986277283
ParchSex_1	1.7518431458606134
ParchEmbarked_S	1.735610845404621
SibSpPclass_0	1.5757554656281008
AgeFare	1.2919801231578272
FarePclass_2	1.2656376667831428
Parch	1.203030394837808
Sex_0Pclass_1	1.077707045774543
FareFare	0.9367428085549754
Pclass_0Embarked_C	0.8580037511090182
Sex_0	0.8549511714525391
Sex_0Sex_0	0.8549511714525391
FareEmbarked_C	0.8176998325805944
ParchEmbarked_C	0.781781400375728
AgePclass_0	0.7256925098234754
Pclass_1Embarked_Q	0.7078603718617269
Pclass_0	0.6480879126502338
Pclass_0Pclass_0	0.6480879126502338
Sex_0Pclass_0	0.6429880724586912
Sex_1Pclass_2	0.636625563823936
Embarked_C	0.5650466097692922
Embarked_CEmbarked_C	0.5650466097692922
AgeSex_0	0.5547862761058843
SibSpSibSp	0.41686991048952265
Sex_0Embarked_C	0.38019466418947934
Pclass_2Embarked_C	0.3294816417555545
Sex_0Embarked_Q	0.31546496927517303
Pclass_1	0.3025786737223158
Pclass_1Pclass_1	0.3025786737223158
AgeSibSp	0.2703043543384286
ParchPclass_2	0.25489071890357645
AgeEmbarked_S	0.24078850344152297
Pclass_1Embarked_S	0.21715708495586533
Sex_1Embarked_C	0.1848519455798154
FareSex_1	0.1748138856093243
Embarked_Q	0.16346227750524386
Embarked_QEmbarked_Q	0.16346227750524386
Sex_0Embarked_S	0.15929153798789034
SibSpPclass_1	0.15431657574133809
Pclass_0Embarked_S	0.1245915604063791
Sex_1Pclass_0	0.005099840191543581
Sex_0Sex_1	0.0
Pclass_0Pclass_1	0.0
Pclass_0Pclass_2	0.0
Pclass_1Pclass_2	0.0
Embarked_SEmbarked_C	0.0
Embarked_SEmbarked_Q	0.0
Embarked_CEmbarked_Q	0.0
Embarked_S	-0.006960683858751454
Embarked_SEmbarked_S	-0.006960683858751454
Fare	-0.09714404316202506
SibSpSex_0	-0.11347611792734566
Sex_1	-0.13340296803675333
Sex_1Sex_1	-0.13340296803675333
Sex_1Embarked_Q	-0.15200269176992912
Sex_1Embarked_S	-0.166252221846646
FareEmbarked_Q	-0.1737780612245307
Pclass_2Embarked_Q	-0.2098906954913197
Pclass_2	-0.22911838295676074
Pclass_2Pclass_2	-0.22911838295676074
FareSex_0	-0.2719579287713474
FarePclass_1	-0.2893722790628873
Pclass_0Embarked_Q	-0.334507398865164
SibSpSex_1	-0.34825927661057043
Pclass_2Embarked_S	-0.34870932922098996
SibSpParch	-0.37949932347663684
SibSpEmbarked_S	-0.45653792427007767
SibSp	-0.4617353945379155
ParchSex_0	-0.5488127510228177
AgePclass_2	-0.5596004377425178
Pclass_1Embarked_C	-0.6224387830952771
FareEmbarked_S	-0.7410658145180945
Sex_1Pclass_1	-0.7751283720522317
AgeEmbarked_Q	-0.8566204570059086
Sex_0Pclass_2	-0.865743946780695
FarePclass_0	-1.0734094308822832
ParchEmbarked_Q	-1.3143618509425512
SibSpFare	-1.5435412450531225
ParchParch	-1.9043275285905554
ParchFare	-1.9426118018052023
ParchPclass_0	-2.0035480449543064
SibSpPclass_2	-2.1918074359073545
SibSpEmbarked_Q	-2.2927504688955542
AgeEmbarked_C	-2.569628530722687
Age	-3.1854604842870984
AgePclass_1	-3.3515525563680506
AgeSex_1	-3.7402467603929606
AgeParch	-4.24025331408531
